Production Year,Production Date Entered,Operator,County,Town,Field,Producing Formation,Active Oil Wells,Inactive Oil Wells,Active Gas Wells,Inactive Gas Wells,Injection Wells,Disposal Wells,Self-use Well,"Oil Produced, bbl","Gas Produced, Mcf","Water produced, bbl","Taxable Gas, Mcf",Purchaser Codes,Location
1995,1996-12-03,"Buffalo China, Inc.",Erie,BUFFALO,BUFFALO,MEDINA,0,0,1,0,0,0,YES,0,106,0,0,unknown,"BUFFALO, NY
(42.887691, -78.879374)"
1995,1996-03-29,"Copper Ridge Oil, Inc.",Steuben,WEST UNION,BEECH HILL-INDEPENDENCE,FULMER VALLEY,28,0,0,0,7,0,NO,1229,0,180,0,OA,"WEST UNION, NY
(42.094951, -77.725816)"
1994,1995-02-14,"White, Walter W. & Christina L.",Cattaraugus,CARROLLTON,BRADFORD,BRADFORD,3,0,0,0,0,0,NO,462,0,0,0,OA,"CARROLLTON, NY
(42.023289, -78.628438)"
1994,1995-01-19,"Stiegler, Richard M",Erie,CHEEKTOWAGA,BUFFALO,MEDINA,0,0,1,0,0,0,YES,0,530,0,0,unknown,"CHEEKTOWAGA, NY
(42.907071, -78.754318)"
1995,1996-02-12,"Bucher, Charles J",Cattaraugus,ALLEGANY,FIVE MILE,BRADFORD,10,0,0,0,0,0,NO,45,0,80,0,OA,"ALLEGANY, NY
(42.088061, -78.491258)"
1995,1996-04-02,"Cotton Well Drilling Company,  Inc.",Chautauqua,SHERIDAN,LAKESHORE,MEDINA,0,0,13,2,0,0,NO,0,27742,377,24177,GK,"SHERIDAN, NY
(42.485764, -79.241801)"
1994,1995-04-05,"Oil, Gas & Land Services, Inc.",Chautauqua,ELLERY,ELLERY,ONONDAGA-BASS ISLAND,1,3,1,0,0,0,NO,96,1582,730,1439,"GX,OA","ELLERY, NY
(42.159868, -79.393216)"
1994,1995-03-15,"Traxler, Joyce",Genesee,LE ROY,UHLEY CORNERS-CALEDONIA,MEDINA,0,0,1,0,0,0,YES,0,500,0,0,unknown,"LE ROY, NY
(42.977677, -77.987588)"
1995,1996-10-18,"Crowell, Walter R.",Chautauqua,VILLENOVA,LAKESHORE,MEDINA,0,0,1,0,0,0,YES,0,100,0,0,unknown,"VILLENOVA, NY
(42.391743, -79.119456)"
1995,1996-04-04,Belden & Blake Corporation,Chautauqua,ELLERY,LAKESHORE,MEDINA,0,0,1,0,0,0,YES,0,2351,107,2351,GX,"ELLERY, NY
(42.159868, -79.393216)"
1994,1995-03-23,Seneca Resources Corporation,Genesee,STAFFORD,ROANOKE,MEDINA,0,0,1,0,0,0,NO,0,1331,0,1331,GK,"STAFFORD, NY
(42.981656, -78.073476)"
1994,1995-03-22,"Torrey, Martha M.",Cattaraugus,CARROLLTON,BRADFORD,CHIPMUNK,8,0,0,0,0,0,NO,287,0,480,0,OC,"CARROLLTON, NY
(42.023289, -78.628438)"
1994,1995-03-22,"Weil Resources, Inc.",Cattaraugus,OTTO,LAKESHORE,MEDINA,0,0,1,0,0,0,NO,0,758,0,758,GK,"OTTO, NY
(42.35589, -78.832619)"
1994,1995-03-20,"Universal Resources Holdings, Incorporated",Chautauqua,ARKWRIGHT,LAKESHORE,MEDINA,0,0,2,0,0,0,NO,0,10516,0,10435,GK,"ARKWRIGHT, NY
(42.406943, -79.236356)"
1994,1995-01-19,"Wroblewski, Francis M",Erie,COLDEN,GLENWOOD,MEDINA,0,0,1,0,0,0,YES,0,0,0,0,unknown,"COLDEN, NY
(42.644234, -78.684775)"
1994,1995-04-04,Perry Energy II,Wyoming,PERRY,LEICESTER,MEDINA,0,0,0,1,0,0,INACTIVE,0,0,0,0,unknown,"PERRY, NY
(42.719701, -78.000751)"
1995,1996-02-09,"Basic Energy Producers, Inc.",Chautauqua,CHAUTAUQUA,LAKESHORE,MEDINA,0,0,3,0,0,0,NO,0,11807,0,11807,GK,"CHAUTAUQUA, NY
(42.251704, -79.501693)"
1994,1995-04-05,United States Gypsum Co.,Wyoming,SHELDON,SHELDON,MEDINA,0,0,30,0,0,0,NO,0,40509,856,35497,GR,"SHELDON, NY
(42.737258, -78.418146)"
1995,1996-01-24,Estate of Gary W. George,Wyoming,BENNINGTON,DANLEY CORNERS,MEDINA,0,0,1,0,0,0,YES,0,0,0,0,unknown,"BENNINGTON, NY
(42.837023, -78.397809)"
1994,1995-02-17,Potter & Childs,Allegany,INDEPENDENCE,BEECH HILL-INDEPENDENCE,FULMER VALLEY,2,1,0,0,0,0,NO,155,0,0,0,OC,"INDEPENDENCE, NY
(42.088045, -77.781386)"
1994,1995-03-22,"Weil Resources, Inc.",Erie,ORCHARD PARK,WEST SENECA,MEDINA,0,0,2,0,0,0,NO,0,4465,0,4465,GK,"ORCHARD PARK, NY
(42.767456, -78.743906)"
1995,1996-10-17,"Capron, Lee H. and Elsie",Chautauqua,BUSTI,LAKESHORE,MEDINA,0,0,1,0,0,0,YES,0,0,0,0,unknown,"BUSTI, NY
(42.038067, -79.283549)"
1994,1995-06-05,"Subsea Oil & Gas, Inc.",Erie,HAMBURG,LAKEVIEW,MEDINA,0,0,0,1,0,0,INACTIVE,0,0,0,0,unknown,"HAMBURG, NY
(42.723291, -78.839026)"
1995,1996-04-02,Evans-Brant (Lake Shore) Central School District,Erie,EVANS,LAKEVIEW,MEDINA,0,0,4,0,0,0,YES,0,10575,241,0,unknown,"EVANS, NY
(42.638457, -79.027689)"
1995,1996-02-29,"Densmore, Winfield F. & Debra",Chautauqua,BUSTI,LAKESHORE,MEDINA,0,0,1,0,0,0,YES,0,250,0,0,unknown,"BUSTI, NY
(42.038067, -79.283549)"
1994,1995-09-28,"Walchli, John W. Jr.",Steuben,WEST UNION,BEECH HILL-INDEPENDENCE,FULMER VALLEY,5,2,0,0,0,0,NO,41,1471,58,1471,"GK,OC","WEST UNION, NY
(42.094951, -77.725816)"
1995,1996-04-02,"Cotton Well Drilling Company,  Inc.",Erie,NORTH COLLINS,NORTH COLLINS,AKRON,0,0,1,0,0,0,YES,0,100,0,0,unknown,"NORTH COLLINS, NY
(42.595159, -78.940951)"
1995,1996-03-25,"Arrowhead Gas Producers, Inc.",Chautauqua,ELLICOTT,LAKESHORE,MEDINA,0,0,4,0,0,0,NO,0,2570,45,2570,GH,"ELLICOTT, NY
(42.734402, -78.731697)"
1994,1995-04-05,United States Gypsum Co.,Genesee,PEMBROKE,ALDEN-LANCASTER,MEDINA,0,0,2,0,0,0,NO,0,6624,0,6583,GR,"PEMBROKE, NY
(42.997549, -78.435048)"
1994,1995-04-05,U S Energy Development Corp.,Chautauqua,CHARLOTTE,GERRY-CHARLOTTE,ONONDAGA-BASS ISLAND,1,1,0,0,0,0,NO,0,2271,5,2271,GH,"CHARLOTTE, NY
(43.255001, -77.617203)"
1994,1995-03-23,Seneca Resources Corporation,Erie,LANCASTER,ALDEN-LANCASTER,MEDINA,0,0,5,1,0,0,NO,0,26041,0,25492,GK,"LANCASTER, NY
(42.892784, -78.676417)"
1995,1996-01-09,Arkema Inc.,Erie,TONAWANDA,BUFFALO,MEDINA,0,0,3,0,0,0,YES,0,1200,0,0,unknown,"TONAWANDA, NY
(43.016642, -78.878854)"
1995,1996-02-16,"Ebenezer Oil Co., Inc.",Allegany,ANDOVER,ANDOVER,FULMER VALLEY,6,0,0,0,0,0,NO,404,0,2020,0,OC,"ANDOVER, NY
(42.156405, -77.795231)"
1994,1995-01-27,Seneca Stone Corp.,Seneca,FAYETTE,FAYETTE-WATERLOO,QUEENSTON,0,0,1,0,0,0,YES,0,0,0,0,unknown,"FAYETTE, NY
(42.831987, -76.847469)"
1995,1996-04-17,"Ardent Resources, Inc.",Livingston,LEICESTER,LEICESTER,MEDINA,0,0,2,3,0,0,NO,0,1352,0,1352,GH,"LEICESTER, NY
(42.772104, -77.898295)"
1994,1995-03-23,Seneca Resources Corporation,Genesee,DARIEN,ALDEN-LANCASTER,MEDINA,0,0,7,0,0,0,NO,0,29563,0,28904,GK,"DARIEN, NY
(42.902048, -78.350767)"
1994,1995-02-22,Pennzoil Products Co.,Cattaraugus,ALLEGANY,BRADFORD,BRADFORD,0,65,0,0,72,0,INACTIVE,0,0,0,0,unknown,"ALLEGANY, NY
(42.088061, -78.491258)"
1994,1995-01-27,"Rose State Custom Service, Inc",Cayuga,SPRINGPORT,WEST AUBURN,QUEENSTON,0,0,1,0,0,0,YES,0,0,0,0,unknown,"SPRINGPORT, NY
(42.842233, -76.691958)"
1995,1996-04-04,"Evinczik, Joseph A",Chautauqua,BUSTI,BUSTI,GLADE,0,1,0,2,0,0,INACTIVE,0,0,0,0,unknown,"BUSTI, NY
(42.038067, -79.283549)"
1994,1995-01-25,Shorewood Farms Drilling,Erie,HAMBURG,LAKEVIEW,MEDINA,0,0,1,0,0,0,YES,0,1000,0,0,unknown,"HAMBURG, NY
(42.723291, -78.839026)"
1995,1996-03-26,Columbia Natural Resources  LLC,Chautauqua,CHAUTAUQUA,LAKESHORE,MEDINA,0,0,1,0,0,0,NO,0,2923,69,2923,GH,"CHAUTAUQUA, NY
(42.251704, -79.501693)"
1994,1995-03-02,"Tenhuisen, Paul Calvin and Josephine",Chautauqua,CLYMER,LAKESHORE,MEDINA,0,0,1,0,0,0,YES,0,0,0,0,unknown,"CLYMER, NY
(42.02082, -79.629966)"
1994,1995-02-03,"Smith,  Alice E.",Cayuga,OWASCO,AUBURN,QUEENSTON,0,0,1,0,0,0,YES,0,400,0,0,unknown,"OWASCO, NY
(42.854988, -76.464778)"
1994,1995-03-30,"Pan Energy Company, Inc.",Erie,CONCORD,CONCORD,MEDINA,0,0,2,0,0,0,NO,0,694,0,694,GK,"CONCORD, NY
(42.535259, -78.731387)"
1995,1996-03-19,Eagle Oil,Allegany,ALMA,RICHBURG,RICHBURG,0,10,0,0,0,0,INACTIVE,0,0,0,0,unknown,"ALMA, NY
(42.012207, -78.060759)"
1994,2001-08-15,Seneca Resources Corporation,Allegany,ALMA,SHARON,RICHBURG,0,0,2,0,0,0,NO,0,219,0,219,GK,"ALMA, NY
(42.012207, -78.060759)"
1995,1996-02-13,"Clark, Donald C",Wyoming,PERRY,LEICESTER,MEDINA,0,0,1,0,0,0,YES,0,135,0,0,unknown,"PERRY, NY
(42.719701, -78.000751)"
1994,1995-03-22,"Weil Resources, Inc.",Cattaraugus,EAST OTTO,LAKESHORE,MEDINA,0,0,3,0,0,0,NO,0,2346,0,2125,GK,"EAST OTTO, NY
(42.389841, -78.755024)"
1994,1995-03-02,Wyckoff Development Co.,Steuben,JASPER,WYCKOFF,ORISKANY,0,0,1,1,0,0,NO,0,38756,10,38756,GK,"JASPER, NY
(42.12254, -77.503328)"
1994,1995-03-03,North Central Oil Corp.,Cattaraugus,LEON,LAKESHORE,MEDINA,0,0,3,0,0,0,NO,0,26555,0,25529,GH,"LEON, NY
(42.293071, -79.01636)"
1994,1995-03-22,"Ruel Energy,  Inc.",Erie,BRANT,BRANT-EDEN,MEDINA,0,0,1,0,0,0,NO,0,1684,5,1684,GK,"BRANT, NY
(42.58859, -79.044449)"
1994,1995-01-25,"Sherwood, Helen",Cattaraugus,ALLEGANY,CHIPMUNK,CHIPMUNK,9,0,0,0,0,0,NO,23,0,0,0,OC,"ALLEGANY, NY
(42.088061, -78.491258)"
1994,1995-09-08,"Woolson, Arthur A. and Faith S",Chautauqua,ARKWRIGHT,LAKESHORE,MEDINA,0,0,1,0,0,0,YES,0,100,0,0,unknown,"ARKWRIGHT, NY
(42.406943, -79.236356)"
1994,1995-01-31,"Quebecor Printing Buffalo, Inc",Erie,CHEEKTOWAGA,ALDEN-LANCASTER,MEDINA,0,0,0,3,0,0,INACTIVE,0,0,0,0,unknown,"CHEEKTOWAGA, NY
(42.907071, -78.754318)"
1994,1995-03-07,"Thropp, Gregory J",Cattaraugus,OLEAN,FIVE MILE,BRADFORD,10,0,0,0,0,0,NO,193,0,20,0,OA,"OLEAN, NY
(42.077495, -78.429849)"
1994,1995-07-28,Village of Depew,Erie,LANCASTER,ALDEN-LANCASTER,MEDINA,0,0,3,0,0,0,YES,0,23672,0,0,unknown,"LANCASTER, NY
(42.892784, -78.676417)"
1994,1995-04-06,"Ripley State Line Truck Stop, Inc.",Chautauqua,RIPLEY,LAKESHORE,MEDINA,0,0,1,0,0,0,YES,0,100,0,0,unknown,"RIPLEY, NY
(42.266859, -79.710476)"
1995,1996-03-19,"Excel Industries, Inc.",Erie,NEWSTEAD,ALDEN-LANCASTER,MEDINA,0,0,0,1,0,0,INACTIVE,0,0,0,0,unknown,"NEWSTEAD, NY
(43.021136, -78.495603)"
1995,1996-02-27,Cone Brothers,Genesee,STAFFORD,ROANOKE,MEDINA,0,0,1,0,0,0,YES,0,364,0,0,unknown,"STAFFORD, NY
(42.981656, -78.073476)"
1995,1996-04-17,CNG Transmission Corp.,Allegany,ALMA,STATE LINE,ORISKANY,0,0,2,0,0,0,NO,0,6332,0,6332,GI,"ALMA, NY
(42.012207, -78.060759)"
1995,2001-08-27,"BDH Oil, Inc.",Cattaraugus,ALLEGANY,CHIPMUNK,CHIPMUNK & BRADFORD 2ND,162,0,0,0,154,0,NO,21260,0,1399,0,OC,"ALLEGANY, NY
(42.088061, -78.491258)"
1995,1996-01-18,All Saints Lutheran Church,Erie,HAMBURG,ORCHARD PARK-HAMBURG,MEDINA,0,0,1,0,0,0,YES,0,384,0,0,unknown,"HAMBURG, NY
(42.723291, -78.839026)"
1994,1995-03-23,Seneca Resources Corporation,Erie,ALDEN,ALDEN-LANCASTER,MEDINA,0,0,6,1,0,0,NO,0,12577,0,11856,GK,"ALDEN, NY
(42.900146, -78.4922)"
1994,1995-03-21,"White, William J",Allegany,BOLIVAR,RICHBURG,RICHBURG,0,2,0,0,0,0,INACTIVE,0,0,0,0,unknown,"BOLIVAR, NY
(42.066701, -78.167667)"
